City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Manicore,BR,75.63,overcast clouds,-5.8092,-61.3003,Hotel Durval
370,San Policarpo,PH,80.96,scattered clouds,12.1791,125.5072,Agapita M. Nicart
373,Morondava,MG,77.09,broken clouds,-20.2833,44.2833,La Case Bambou
376,Saint-Joseph,RE,76.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
379,Sidrolandia,BR,81.39,clear sky,-20.9319,-54.9614,Agropet São Francisco
383,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
388,Moindou,NC,89.55,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
390,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
394,Nelson Bay,AU,86.29,broken clouds,-32.7167,152.15,Mantra Nelson Bay
398,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
401,Muriwai Beach,NZ,80.42,scattered clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
407,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
413,Anloga,GH,81.32,clear sky,5.7947,0.8973,Pin Drop Hotel
414,Hervey Bay,AU,84.31,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
420,Kihei,US,78.82,scattered clouds,20.785,-156.4656,Maui Sunset
422,Kieta,PG,81.09,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
423,Ngunguru,NZ,80.17,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
426,Gunnedah,AU,85.62,broken clouds,-30.9833,150.25,Gunnedah Motor Inn
427,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
428,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
435,Gorontalo,ID,86.76,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
438,Kapoeta,SS,78.71,broken clouds,4.7717,33.5903,Eastgate Hotel
440,Trenggalek,ID,83.5,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
447,Ko Samui,TH,80.51,few clouds,9.5357,99.9357,The Passage
451,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
453,Maceio,BR,81.84,moderate rain,-9.6658,-35.7353,Poutur Pousada
456,Port Blair,IN,79.23,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
469,Puerto Gaitan,CO,84.13,scattered clouds,4.3133,-72.0816,Brisas del Yucao
472,Boca Do Acre,BR,78.3,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
473,Almeirim,BR,75.76,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
477,Saint-Paul,RE,77.74,scattered clouds,-21.0096,55.2707,Boucan Canot
479,Yaan,NG,76.5,broken clouds,7.3833,8.5667,
485,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
488,Balocawehay,PH,78.15,overcast clouds,10.7221,124.9678,Tia Inday Haven Farm
490,Hobyo,SO,77.74,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
492,Santa Isabel Do Rio Negro,BR,75.79,overcast clouds,-0.4139,-65.0192,Hotel GSA
496,Tocache,PE,75.78,broken clouds,-8.1842,-76.5125,Hotel Ortiz
499,Biak,ID,84.63,overcast clouds,-0.9131,122.8766,Penginapan Kim
500,Riberalta,BO,80.65,overcast clouds,-10.9833,-66.1,Hotel Colonial
503,Corrientes,AR,80.02,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
505,Muli,MV,81.55,broken clouds,2.9167,73.5667,Medhufushi Island Resort
509,Ouegoa,NC,85.33,broken clouds,-20.35,164.4333,
510,Ariquemes,BR,78.49,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
515,Corn Island,NI,80.51,scattered clouds,12.1694,-83.0418,Big Fish Guest House
525,Kampong Thum,KH,76.19,scattered clouds,12.7111,104.8887,Sambor Village Hotel
538,Ambulu,ID,83.25,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
539,Bubaque,GW,79.32,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
540,Le Port,RE,77.61,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
548,Tabou,CI,79.18,few clouds,4.423,-7.3528,hotêl doufoulougou
562,Gladstone,AU,87.78,overcast clouds,-23.85,151.25,Highpoint International Hotel
564,Alyangula,AU,80.47,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
566,Maragogi,BR,79.14,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
567,Gold Coast,AU,85.15,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
569,Majene,ID,87.17,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
570,Mandera,KE,78.4,few clouds,3.9366,41.867,Mwalimu Guest mandera
574,Koumac,NC,84.96,broken clouds,-20.5667,164.2833,Le Monitel
575,Bonthe,SL,78.69,few clouds,7.5264,-12.505,Bonthe Holiday Village
579,Kota Tinggi,MY,82.44,overcast clouds,1.7381,103.8999,Canopy Tribe
582,Sawtell,AU,82.72,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
589,Wewak,PG,84.09,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
593,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
600,Alugan,PH,80.69,scattered clouds,12.2188,125.4808,JM Lodge
602,Mareeba,AU,88.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
604,Isangel,VU,86.11,scattered clouds,-19.55,169.2667,Tanna Lodge
607,Ransang,PH,83.21,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
611,La Romana,DO,75.56,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
617,General Roca,AR,77.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
624,Perbaungan,ID,78.91,overcast clouds,3.5679,98.956,Bendang Lama
628,Tangkak,MY,80.47,overcast clouds,2.2673,102.5453,Lakeside Village Homestay 水乡民宿
629,Kavaratti,IN,81.21,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
630,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
635,Lagos,NG,82.72,scattered clouds,6.5833,3.75,
642,Fort Wellington,GY,76.39,few clouds,6.4,-57.6,TE'AMO Entertainment Park
648,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
650,Mitsamiouli,KM,81.59,few clouds,-11.3847,43.2844,Foyer ADM
654,Bulolo,PG,75.99,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
656,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
657,Catamarca,AR,82.04,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
