City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Cabo San Lucas,MX,22.8909,-109.9124,74.61,67,1,5.73,clear sky
229,Ballina,AU,-28.8667,153.5667,82.58,65,75,8.05,broken clouds
230,Port Lincoln,AU,-34.7333,135.8667,64.6,59,50,18.32,scattered clouds
231,Shakiso,ET,5.75,38.9167,57.24,87,19,3.38,few clouds
232,Cordele,US,31.9635,-83.7824,64.92,72,1,4.61,clear sky
233,Kavieng,PG,-2.5744,150.7967,82.94,79,100,8.1,light rain
234,Jiuquan,CN,39.7432,98.5174,6.84,86,86,2.84,overcast clouds
235,Ketchikan,US,55.3422,-131.6461,17.58,52,1,9.22,clear sky
236,Ukiah,US,39.1502,-123.2078,44.64,89,90,0.0,overcast clouds
237,Pisco,PE,-13.7,-76.2167,69.85,78,90,13.8,overcast clouds
238,Milyutinskaya,RU,48.6279,41.6679,31.8,99,100,6.42,snow
239,Marsh Harbour,BS,26.5412,-77.0636,72.72,56,0,3.2,clear sky
240,Caravelas,BR,-17.7125,-39.2481,71.8,92,100,4.59,overcast clouds
241,Robertsport,LR,6.7533,-11.3686,80.83,80,12,5.19,few clouds
242,Hima,UG,0.2958,30.1804,65.95,89,100,1.48,overcast clouds
243,Dubti,ET,11.7361,41.0853,72.1,52,0,8.21,clear sky
244,Riwaka,NZ,-41.0833,173.0,71.6,48,1,6.91,clear sky
245,Gushikawa,JP,26.3544,127.8686,58.23,82,90,16.11,overcast clouds
246,Tutoia,BR,-2.7619,-42.2744,84.18,90,100,8.03,overcast clouds
247,Joshimath,IN,30.5667,79.5667,33.67,44,18,8.34,few clouds
248,Moron,AR,-34.6534,-58.6198,75.02,80,0,5.01,clear sky
249,Maumere,ID,-8.6199,122.2111,84.15,71,94,2.24,light rain
250,Concepcion,CL,-36.827,-73.0498,67.8,64,0,13.8,clear sky
251,Te Anau,NZ,-45.4167,167.7167,59.7,71,97,7.29,overcast clouds
252,Ponta Do Sol,PT,32.6667,-17.1,67.71,89,100,7.4,overcast clouds
253,Carnarvon,AU,-24.8667,113.6333,78.87,69,90,9.22,overcast clouds
254,Zuwarah,LY,32.9312,12.082,59.67,40,62,11.39,broken clouds
255,Tonantins,BR,-2.8731,-67.8022,76.98,95,100,1.83,overcast clouds
256,Changli,CN,39.7042,119.1506,14.32,24,0,14.27,clear sky
257,Bay-Khaak,RU,51.1667,94.5,-20.76,91,97,3.6,overcast clouds
258,Clyde River,CA,70.4692,-68.5914,-0.17,78,100,21.85,overcast clouds
259,Nikolskoye,RU,59.7035,30.7861,8.8,99,100,3.67,overcast clouds
260,Namibe,AO,-15.1961,12.1522,67.86,69,100,8.9,overcast clouds
261,Yelatma,RU,54.9675,41.7508,7.57,92,94,9.48,overcast clouds
262,Arequipa,PE,-16.3989,-71.535,60.87,55,75,3.44,broken clouds
263,Umm Lajj,SA,25.0213,37.2685,67.05,44,0,4.23,clear sky
264,Flinders,AU,-34.5833,150.8552,79.81,81,88,11.95,overcast clouds
265,Ilo,PE,-17.6394,-71.3375,69.69,87,81,2.71,broken clouds
266,Manavgat,TR,36.7867,31.4431,50.41,67,92,4.83,overcast clouds
267,Samarai,PG,-10.6167,150.6667,84.42,73,100,7.96,overcast clouds
268,Svetlogorsk,BY,52.6333,29.7333,17.98,92,92,11.12,overcast clouds
269,Tasiilaq,GL,65.6145,-37.6368,26.76,54,1,6.89,clear sky
270,Alice Springs,AU,-23.7,133.8833,89.15,19,0,16.11,clear sky
271,Nuqui,CO,5.7125,-77.2708,77.59,90,97,2.82,light rain
272,Faya,SA,18.3851,42.4509,55.51,65,13,2.1,few clouds
273,Lieksa,FI,63.3167,30.0167,7.61,93,100,8.52,overcast clouds
274,Labuhan,ID,-6.8844,112.2051,81.9,76,86,7.99,overcast clouds
275,Coquimbo,CL,-29.9533,-71.3436,60.53,88,20,6.91,few clouds
276,Dudinka,RU,69.4058,86.1778,-2.38,94,100,14.92,overcast clouds
277,Naron,ES,43.5167,-8.1528,56.59,92,99,8.86,overcast clouds
278,Nanortalik,GL,60.1432,-45.2371,33.39,72,72,13.91,broken clouds
279,Obregon,NI,11.9566,-85.9636,80.69,65,35,9.17,scattered clouds
280,La Asuncion,VE,11.0333,-63.8628,78.53,94,18,12.66,few clouds
281,Faanui,PF,-16.4833,-151.75,81.46,70,26,13.89,scattered clouds
282,Najran,SA,17.4924,44.1277,63.25,32,0,3.29,clear sky
283,Saint-Louis,SN,16.3333,-15.0,78.48,19,100,10.33,overcast clouds
284,Maceo,CO,6.552,-74.7874,68.67,98,94,2.55,overcast clouds
285,Matamoros,MX,25.5333,-103.25,74.1,25,10,4.72,clear sky
286,Geraldton,AU,-28.7667,114.6,104.41,9,2,26.46,clear sky
287,Ponta Delgada,PT,37.7333,-25.6667,66.51,88,40,24.16,scattered clouds
288,Nouadhibou,MR,20.931,-17.0347,67.98,56,0,13.8,clear sky
289,Rio Grande,BR,-32.035,-52.0986,72.39,81,43,16.69,scattered clouds
290,Sterling,US,39.0062,-77.4286,65.8,90,90,1.01,moderate rain
291,Nanae,JP,41.8833,140.6833,23.23,74,75,2.3,light snow
292,Adrar,MR,20.5022,-10.0711,64.42,25,0,8.77,clear sky
293,Sfantu Gheorghe,RO,45.8667,25.7833,44.56,58,100,2.19,overcast clouds
294,Naze,JP,28.3667,129.4833,49.12,73,100,18.14,overcast clouds
295,Carutapera,BR,-1.195,-46.02,76.21,93,100,6.33,overcast clouds
296,Trairi,BR,-3.2778,-39.2689,80.26,78,100,7.34,overcast clouds
297,Palmares Do Sul,BR,-30.2578,-50.5097,70.92,80,0,15.26,clear sky
298,Prince Rupert,CA,54.3161,-130.3201,17.29,55,1,10.36,clear sky
299,Laguna,US,38.421,-121.4238,49.17,93,90,4.0,overcast clouds
300,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,13.8,few clouds
301,Ulladulla,AU,-35.35,150.4667,69.76,88,100,8.72,overcast clouds
302,Hofn,IS,64.2539,-15.2082,33.62,94,100,15.93,light rain
303,Zetel,DE,53.4022,7.9645,18.93,61,6,7.92,clear sky
304,Lakes Entrance,AU,-37.8811,147.981,64.17,58,100,12.41,overcast clouds
305,Tual,ID,-5.6667,132.75,84.2,77,98,19.55,overcast clouds
306,Rochegda,RU,62.8,43.25,9.27,95,100,5.1,light snow
307,La Ronge,CA,55.1001,-105.2842,-21.75,69,1,3.44,clear sky
308,Nanuque,BR,-17.8392,-40.3539,70.0,91,82,4.9,broken clouds
